"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5427297";"";"None";"347.35";"0";"0.03";"5i";"Cn1c(=O)c2c(nc(NCCO)n2Cc2cccc(F)c2)n(C)c1=O";"IC50";"'='";"14200.0";"nM";"4.85";"";"";"UO_0000065";"13.96";"0.26";"4.82";"5.15";"0";"CHEMBL5333523";"Inhibition of PCSK9 transcriptional activity in human HepG2 cells stably expressing luciferase reporter plasmid containing PCSK9 promoter assessed as decrease in luciferase activity incubated for 24 hrs by Luciferase assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5331095";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 24.0 hr";"INHIBITOR";"";"14.2"
"CHEMBL5405848";"";"None";"347.35";"0";"0.03";"5j";"Cn1c(=O)c2c(nc(NCCO)n2Cc2ccc(F)cc2)n(C)c1=O";"IC50";"'='";"27800.0";"nM";"4.56";"";"";"UO_0000065";"13.12";"0.25";"4.53";"4.84";"0";"CHEMBL5333523";"Inhibition of PCSK9 transcriptional activity in human HepG2 cells stably expressing luciferase reporter plasmid containing PCSK9 promoter assessed as decrease in luciferase activity incubated for 24 hrs by Luciferase assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5331095";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 24.0 hr";"INHIBITOR";"";"27.8"
"CHEMBL4107907";"";"None";"432.92";"0";"3.84";"BDBM200317";"O=C(c1ccc(-c2cnn3cccnc23)cc1)N(c1ncccc1Cl)[C@@H]1CCCNC1";"IC50";"'='";"690.0";"nM";"6.16";"";"356431";"UO_0000065";"14.23";"0.27";"2.32";"8.17";"0";"CHEMBL3887821";"Cell Free Assay: In order to eliminate the permeability barrier inherent to the WT7 and SCHH cell-based assays a cell-free system was also established to access compound activity. A sequence containing the full length human PCSK9 (NCBI reference identifier, NM-174936.3, where coding sequence start annotated at position 363) along with 84 additional 3â¿² nucleotides, comprising a V5 tag and polylinkinker followed by an in frame modified firefly luciferase reporter (corresponding to nucleotide positions 283-1929 of pGL3, Gen Bank reference identifier JN542721.1) was cloned into the pT7CFE1 expression vector (ThermoScientific). The construct was then in-vitro transcribed using the MEGAscript T7 Kit (Life Technologies) and RNA subsequently purified incorporating the MEGAclear Kit (Life Technologies) according to manufacturer's protocols. HeLa cell lysates were prepared following the protocols described by Mikami (reference is Cell-Free Protein Synthesis Systems with Extracts from Cultured Human Cells, S. Mikami, T. Kobayashi and H. Imataka; from Methods in Molecular Biology, vol. 607, pages 43-52, Y. Endo et al. (eds.), Humana Press, 2010) with the following modifications.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886461";"37";"BindingDB Patent Bioactivity Data";"";"2016";"CHEMBL3308376";"";"";"";"690.0"
"CHEMBL4115372";"";"None";"458.52";"0";"3.07";"BDBM200327";"Cn1ncc(-c2ccc(C(=O)N(c3nccc4ccn(C)c34)[C@@H]3CCCNC3)cc2)c1C(=O)O";"IC50";"'='";"1700.0";"nM";"5.77";"";"356438";"UO_0000065";"12.58";"0.23";"2.70";"5.48";"0";"CHEMBL3887821";"Cell Free Assay: In order to eliminate the permeability barrier inherent to the WT7 and SCHH cell-based assays a cell-free system was also established to access compound activity. A sequence containing the full length human PCSK9 (NCBI reference identifier, NM-174936.3, where coding sequence start annotated at position 363) along with 84 additional 3â¿² nucleotides, comprising a V5 tag and polylinkinker followed by an in frame modified firefly luciferase reporter (corresponding to nucleotide positions 283-1929 of pGL3, Gen Bank reference identifier JN542721.1) was cloned into the pT7CFE1 expression vector (ThermoScientific). The construct was then in-vitro transcribed using the MEGAscript T7 Kit (Life Technologies) and RNA subsequently purified incorporating the MEGAclear Kit (Life Technologies) according to manufacturer's protocols. HeLa cell lysates were prepared following the protocols described by Mikami (reference is Cell-Free Protein Synthesis Systems with Extracts from Cultured Human Cells, S. Mikami, T. Kobayashi and H. Imataka; from Methods in Molecular Biology, vol. 607, pages 43-52, Y. Endo et al. (eds.), Humana Press, 2010) with the following modifications.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886461";"37";"BindingDB Patent Bioactivity Data";"";"2016";"CHEMBL3308376";"";"";"";"1700.0"
"CHEMBL4108330";"";"None";"433.51";"0";"2.98";"BDBM200328";"COC(=O)c1c(-c2ccc(C(=O)N(c3ncccc3C)[C@@H]3CCCNC3)cc2)cnn1C";"IC50";"'='";"800.0";"nM";"6.10";"";"356439";"UO_0000065";"14.06";"0.26";"3.12";"6.82";"0";"CHEMBL3887821";"Cell Free Assay: In order to eliminate the permeability barrier inherent to the WT7 and SCHH cell-based assays a cell-free system was also established to access compound activity. A sequence containing the full length human PCSK9 (NCBI reference identifier, NM-174936.3, where coding sequence start annotated at position 363) along with 84 additional 3â¿² nucleotides, comprising a V5 tag and polylinkinker followed by an in frame modified firefly luciferase reporter (corresponding to nucleotide positions 283-1929 of pGL3, Gen Bank reference identifier JN542721.1) was cloned into the pT7CFE1 expression vector (ThermoScientific). The construct was then in-vitro transcribed using the MEGAscript T7 Kit (Life Technologies) and RNA subsequently purified incorporating the MEGAclear Kit (Life Technologies) according to manufacturer's protocols. HeLa cell lysates were prepared following the protocols described by Mikami (reference is Cell-Free Protein Synthesis Systems with Extracts from Cultured Human Cells, S. Mikami, T. Kobayashi and H. Imataka; from Methods in Molecular Biology, vol. 607, pages 43-52, Y. Endo et al. (eds.), Humana Press, 2010) with the following modifications.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886461";"37";"BindingDB Patent Bioactivity Data";"";"2016";"CHEMBL3308376";"";"";"";"800.0"
"CHEMBL4107907";"";"None";"432.92";"0";"3.84";"BDBM200317";"O=C(c1ccc(-c2cnn3cccnc23)cc1)N(c1ncccc1Cl)[C@@H]1CCCNC1";"IC50";"'='";"1700.0";"nM";"5.77";"";"356378";"UO_0000065";"13.33";"0.25";"1.93";"7.65";"0";"CHEMBL3887820";"AlphaLISA Assay: An in-vitro AlphaLISA assay (Perkin Elmer) was developed in order to quantitate the level of PCSK9 secreted into the cell culture media following compound treatment. To detect and measure PCSK9 protein an in-house generated anti-PCSK9 antibody was coupled to AlphaLISA acceptor beads by an external vendor (PerkinElmer) and a second internally developed anti-PCSK9 antibody with an epiptope distinct from that of the acceptor beads was biotinylated in house. Streptavidin coated-donor beads (Perkin Elmer) are also included in the assay mixture which then binds the biotinylated anti-PCSK9 antibody and in the presence of PCSK9 this donor complex and acceptor beads are brought into close proximity. Upon excitation of the donor beads at 680 nm singlet oxygen molecules are released that trigger an energy transfer cascade within the acceptor beads resolving as a single peak of light emitted at 615 nm. The ability of compound to modulate PCSK9 protein levels in conditioned media by AlphaLISA was assessed in the human hepatocellular carcinoma cell line Huh7, stably over-expressing human PCSK9.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886461";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"1700.0"
"CHEMBL4106915";"";"None";"559.63";"2";"3.53";"BDBM200337";"CCOC(=O)OC(C)n1nnnc1-c1c(-c2ccc(C(=O)N(c3ncccc3C)[C@@H]3CCCNC3)cc2)cnn1C";"IC50";"'>'";"20000.0";"nM";"";"";"356396";"UO_0000065";"";"";"";"";"0";"CHEMBL3887820";"AlphaLISA Assay: An in-vitro AlphaLISA assay (Perkin Elmer) was developed in order to quantitate the level of PCSK9 secreted into the cell culture media following compound treatment. To detect and measure PCSK9 protein an in-house generated anti-PCSK9 antibody was coupled to AlphaLISA acceptor beads by an external vendor (PerkinElmer) and a second internally developed anti-PCSK9 antibody with an epiptope distinct from that of the acceptor beads was biotinylated in house. Streptavidin coated-donor beads (Perkin Elmer) are also included in the assay mixture which then binds the biotinylated anti-PCSK9 antibody and in the presence of PCSK9 this donor complex and acceptor beads are brought into close proximity. Upon excitation of the donor beads at 680 nm singlet oxygen molecules are released that trigger an energy transfer cascade within the acceptor beads resolving as a single peak of light emitted at 615 nm. The ability of compound to modulate PCSK9 protein levels in conditioned media by AlphaLISA was assessed in the human hepatocellular carcinoma cell line Huh7, stably over-expressing human PCSK9.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886461";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"20000.0"
"CHEMBL4109933";"";"None";"612.71";"2";"3.11";"BDBM200345";"CCOC(=O)OC(C)N(C(=O)c1c(-c2ccc(C(=O)N(c3ncccc3C)[C@@H]3CCCNC3)cc2)cnn1C)S(C)(=O)=O";"IC50";"'>'";"20000.0";"nM";"";"";"356403";"UO_0000065";"";"";"";"";"0";"CHEMBL3887820";"AlphaLISA Assay: An in-vitro AlphaLISA assay (Perkin Elmer) was developed in order to quantitate the level of PCSK9 secreted into the cell culture media following compound treatment. To detect and measure PCSK9 protein an in-house generated anti-PCSK9 antibody was coupled to AlphaLISA acceptor beads by an external vendor (PerkinElmer) and a second internally developed anti-PCSK9 antibody with an epiptope distinct from that of the acceptor beads was biotinylated in house. Streptavidin coated-donor beads (Perkin Elmer) are also included in the assay mixture which then binds the biotinylated anti-PCSK9 antibody and in the presence of PCSK9 this donor complex and acceptor beads are brought into close proximity. Upon excitation of the donor beads at 680 nm singlet oxygen molecules are released that trigger an energy transfer cascade within the acceptor beads resolving as a single peak of light emitted at 615 nm. The ability of compound to modulate PCSK9 protein levels in conditioned media by AlphaLISA was assessed in the human hepatocellular carcinoma cell line Huh7, stably over-expressing human PCSK9.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886461";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"20000.0"
"CHEMBL4112053";"";"None";"587.69";"2";"4.31";"BDBM200356";"CCC(OC(=O)OC(C)C)n1nnc(-c2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCNC4)cc3)cnn2C)n1";"IC50";"'>'";"19400.0";"nM";"";"";"356415";"UO_0000065";"";"";"";"";"0";"CHEMBL3887820";"AlphaLISA Assay: An in-vitro AlphaLISA assay (Perkin Elmer) was developed in order to quantitate the level of PCSK9 secreted into the cell culture media following compound treatment. To detect and measure PCSK9 protein an in-house generated anti-PCSK9 antibody was coupled to AlphaLISA acceptor beads by an external vendor (PerkinElmer) and a second internally developed anti-PCSK9 antibody with an epiptope distinct from that of the acceptor beads was biotinylated in house. Streptavidin coated-donor beads (Perkin Elmer) are also included in the assay mixture which then binds the biotinylated anti-PCSK9 antibody and in the presence of PCSK9 this donor complex and acceptor beads are brought into close proximity. Upon excitation of the donor beads at 680 nm singlet oxygen molecules are released that trigger an energy transfer cascade within the acceptor beads resolving as a single peak of light emitted at 615 nm. The ability of compound to modulate PCSK9 protein levels in conditioned media by AlphaLISA was assessed in the human hepatocellular carcinoma cell line Huh7, stably over-expressing human PCSK9.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886461";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"19400.0"
"CHEMBL4635142";"";"None";"923.94";"2";"6.47";"Example 17";"COC[C@@H]1NC(=O)[C@H](C)N(Cc2ncc(Cl)cc2Oc2ccc(-c3cnc(CN(C)C)n3C)cc2)C(=O)C[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@](Cc3ccc(Cl)cc3)(C2)NC1=O";"IC50";"'='";"0.327";"nM";"9.48";"";"";"UO_0000065";"10.27";"0.20";"3.02";"6.27";"0";"CHEMBL4622704";"Inhibition of human PCSK9 by Alexa Fluor 647 staining based TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619822";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"0.000327"
